name,country_iso2,ticker,source_item,source
3M,US,MMM,,DataHub S&P 500 companies
A. O. Smith,US,AOS,,DataHub S&P 500 companies
Abbott Laboratories,US,ABT,,DataHub S&P 500 companies
AbbVie,US,ABBV,,DataHub S&P 500 companies
Accenture,US,ACN,,DataHub S&P 500 companies
AdobeInc.,US,ADBE,,DataHub S&P 500 companies
Advanced Micro Devices,US,AMD,,DataHub S&P 500 companies
AESCorporation,US,AES,,DataHub S&P 500 companies
Aflac,US,AFL,,DataHub S&P 500 companies
Agilent Technologies,US,A,,DataHub S&P 500 companies
Air Products,US,APD,,DataHub S&P 500 companies
Airbnb,US,ABNB,,DataHub S&P 500 companies
Akamai Technologies,US,AKAM,,DataHub S&P 500 companies
AlbemarleCorporation,US,ALB,,DataHub S&P 500 companies
Alexandria Real Estate Equities,US,ARE,,DataHub S&P 500 companies
Align Technology,US,ALGN,,DataHub S&P 500 companies
Allegion,US,ALLE,,DataHub S&P 500 companies
Alliant Energy,US,LNT,,DataHub S&P 500 companies
Allstate,US,ALL,,DataHub S&P 500 companies
Alphabet Inc. (Class A),US,GOOGL,,DataHub S&P 500 companies
Alphabet Inc. (Class C),US,GOOG,,DataHub S&P 500 companies
Altria,US,MO,,DataHub S&P 500 companies
Amazon,US,AMZN,,DataHub S&P 500 companies
Amcor,US,AMCR,,DataHub S&P 500 companies
Ameren,US,AEE,,DataHub S&P 500 companies
American Electric Power,US,AEP,,DataHub S&P 500 companies
American Express,US,AXP,,DataHub S&P 500 companies
American International Group,US,AIG,,DataHub S&P 500 companies
American Tower,US,AMT,,DataHub S&P 500 companies
American Water Works,US,AWK,,DataHub S&P 500 companies
Ameriprise Financial,US,AMP,,DataHub S&P 500 companies
Ametek,US,AME,,DataHub S&P 500 companies
Amgen,US,AMGN,,DataHub S&P 500 companies
Amphenol,US,APH,,DataHub S&P 500 companies
Analog Devices,US,ADI,,DataHub S&P 500 companies
Aonplc,US,AON,,DataHub S&P 500 companies
APACorporation,US,APA,,DataHub S&P 500 companies
Apollo Global Management,US,APO,,DataHub S&P 500 companies
AppleInc.,US,AAPL,,DataHub S&P 500 companies
Applied Materials,US,AMAT,,DataHub S&P 500 companies
AppLovin,US,APP,,DataHub S&P 500 companies
Aptiv,US,APTV,,DataHub S&P 500 companies
Arch Capital Group,US,ACGL,,DataHub S&P 500 companies
Archer Daniels Midland,US,ADM,,DataHub S&P 500 companies
Ares Management,US,ARES,,DataHub S&P 500 companies
Arista Networks,US,ANET,,DataHub S&P 500 companies
Arthur J. Gallagher &Co.,US,AJG,,DataHub S&P 500 companies
Assurant,US,AIZ,,DataHub S&P 500 companies
AT&T,US,T,,DataHub S&P 500 companies
Atmos Energy,US,ATO,,DataHub S&P 500 companies
Autodesk,US,ADSK,,DataHub S&P 500 companies
Automatic Data Processing,US,ADP,,DataHub S&P 500 companies
AutoZone,US,AZO,,DataHub S&P 500 companies
AvalonBay Communities,US,AVB,,DataHub S&P 500 companies
Avery Dennison,US,AVY,,DataHub S&P 500 companies
Axon Enterprise,US,AXON,,DataHub S&P 500 companies
Baker Hughes,US,BKR,,DataHub S&P 500 companies
BallCorporation,US,BALL,,DataHub S&P 500 companies
Bank of America,US,BAC,,DataHub S&P 500 companies
Baxter International,US,BAX,,DataHub S&P 500 companies
Becton Dickinson,US,BDX,,DataHub S&P 500 companies
Berkshire Hathaway,US,BRK.B,,DataHub S&P 500 companies
Best Buy,US,BBY,,DataHub S&P 500 companies
