name,country_iso2,popularity_count,source_item,source
Martina,AD,1,N-AD-1-F-1,sigpwned popular-names-by-country-dataset
Emma,AD,2,N-AD-1-F-2,sigpwned popular-names-by-country-dataset
Jana,AD,3,N-AD-1-F-3,sigpwned popular-names-by-country-dataset
Lucia,AD,4,N-AD-1-F-4,sigpwned popular-names-by-country-dataset
Mariam,AE,1,N-AE-1-F-1,sigpwned popular-names-by-country-dataset
Sara,AE,2,N-AE-1-F-2,sigpwned popular-names-by-country-dataset
Sarah,AE,3,N-AE-1-F-3,sigpwned popular-names-by-country-dataset
Fatima,AE,4,N-AE-1-F-4,sigpwned popular-names-by-country-dataset
Fatma,AE,5,N-AE-1-F-5,sigpwned popular-names-by-country-dataset
Ayesha,AE,6,N-AE-1-F-6,sigpwned popular-names-by-country-dataset
Noor,AE,7,N-AE-1-F-7,sigpwned popular-names-by-country-dataset
Amelia,AL,1,N-AL-1-F-1,sigpwned popular-names-by-country-dataset
Ajla,AL,2,N-AL-1-F-2,sigpwned popular-names-by-country-dataset
Aria,AL,3,N-AL-1-F-3,sigpwned popular-names-by-country-dataset
Amelja,AL,4,N-AL-1-F-4,sigpwned popular-names-by-country-dataset
Leandra,AL,5,N-AL-1-F-5,sigpwned popular-names-by-country-dataset
Ambra,AL,6,N-AL-1-F-6,sigpwned popular-names-by-country-dataset
Klea,AL,7,N-AL-1-F-7,sigpwned popular-names-by-country-dataset
Melisa,AL,8,N-AL-1-F-8,sigpwned popular-names-by-country-dataset
Amaris,AL,9,N-AL-1-F-9,sigpwned popular-names-by-country-dataset
Reina,AL,10,N-AL-1-F-10,sigpwned popular-names-by-country-dataset
Anahit,AM,1,N-AM-1-F-1,sigpwned popular-names-by-country-dataset
Gayane,AM,2,N-AM-1-F-2,sigpwned popular-names-by-country-dataset
Anna,AM,3,N-AM-1-F-3,sigpwned popular-names-by-country-dataset
Karine,AM,4,N-AM-1-F-4,sigpwned popular-names-by-country-dataset
Hasmik,AM,5,N-AM-1-F-5,sigpwned popular-names-by-country-dataset
Lusine,AM,6,N-AM-1-F-6,sigpwned popular-names-by-country-dataset
Susanna,AM,7,N-AM-1-F-7,sigpwned popular-names-by-country-dataset
