name,category,source_item,source
10k Run,sports,,dariusk/corpora sports
16-Inch Softball,sports,,dariusk/corpora sports
43-Man Squamish,sports,,dariusk/corpora sports
5k Run,sports,,dariusk/corpora sports
Atv Racing,sports,,dariusk/corpora sports
Abseiling,sports,,dariusk/corpora sports
Acro Sports,sports,,dariusk/corpora sports
Acrobatic Gymnastics,sports,,dariusk/corpora sports
Aerobatics,sports,,dariusk/corpora sports
Aerobic Gymnastics,sports,,dariusk/corpora sports
Aid Climbing,sports,,dariusk/corpora sports
Aiki-JŪJutsu,sports,,dariusk/corpora sports
Aikido,sports,,dariusk/corpora sports
Air Hockey,sports,,dariusk/corpora sports
Air Racing,sports,,dariusk/corpora sports
Air Sports,sports,,dariusk/corpora sports
Airsoft,sports,,dariusk/corpora sports
Aizkolaritza,sports,,dariusk/corpora sports
All-Terrain Vehicle Competition,sports,,dariusk/corpora sports
Alpine Skiing,sports,,dariusk/corpora sports
Amateur Wrestling,sports,,dariusk/corpora sports
American Flag Rugby,sports,,dariusk/corpora sports
American Football,sports,,dariusk/corpora sports
American Handball,sports,,dariusk/corpora sports
Angling,sports,,dariusk/corpora sports
Apnoea Finswimming,sports,,dariusk/corpora sports
Aquathlon,sports,,dariusk/corpora sports
Archery,sports,,dariusk/corpora sports
Arena Football,sports,,dariusk/corpora sports
Arm Wrestling,sports,,dariusk/corpora sports
Artistic Billiards,sports,,dariusk/corpora sports
Artistic Cycling,sports,,dariusk/corpora sports
Artistic Gymnastics,sports,,dariusk/corpora sports
Artistic Pool,sports,,dariusk/corpora sports
Association Football,sports,,dariusk/corpora sports
Australian Football,sports,,dariusk/corpora sports
Australian Handball,sports,,dariusk/corpora sports
Austus,sports,,dariusk/corpora sports
Auto Race,sports,,dariusk/corpora sports
Auto Racing,sports,,dariusk/corpora sports
Autocross,sports,,dariusk/corpora sports
Autograss,sports,,dariusk/corpora sports
Axe Throwing,sports,,dariusk/corpora sports
Base Jumping,sports,,dariusk/corpora sports
Bmx,sports,,dariusk/corpora sports
Ba Game,sports,,dariusk/corpora sports
Backgammon,sports,,dariusk/corpora sports
Backpacking,sports,,dariusk/corpora sports
Backstroke,sports,,dariusk/corpora sports
Badminton,sports,,dariusk/corpora sports
Bagatelle,sports,,dariusk/corpora sports
Baguazhang,sports,,dariusk/corpora sports
Balance Beam,sports,,dariusk/corpora sports
Balkline And Straight Rail,sports,,dariusk/corpora sports
Ball Badminton,sports,,dariusk/corpora sports
Ball Hockey,sports,,dariusk/corpora sports
Ball,sports,,dariusk/corpora sports
Ball-Over-Net Games,sports,,dariusk/corpora sports
Bando,sports,,dariusk/corpora sports
Bandy,sports,,dariusk/corpora sports
Banger Racing,sports,,dariusk/corpora sports
Bank Pool,sports,,dariusk/corpora sports
Banzai Skydiving,sports,,dariusk/corpora sports
Bar Billiards,sports,,dariusk/corpora sports
Bareback Bronc Riding,sports,,dariusk/corpora sports
Barrel Racing,sports,,dariusk/corpora sports
Barrel Jumping,sports,,dariusk/corpora sports
Bartitsu,sports,,dariusk/corpora sports
Baseball Pocket Billiards,sports,,dariusk/corpora sports
Baseball,sports,,dariusk/corpora sports
Basketball,sports,,dariusk/corpora sports
Basque Pelota,sports,,dariusk/corpora sports
Basque Traditional Weightlifting,sports,,dariusk/corpora sports
Bat And Trap,sports,,dariusk/corpora sports
Baton Twirling,sports,,dariusk/corpora sports
BattŌJutsu,sports,,dariusk/corpora sports
Beach Basketball,sports,,dariusk/corpora sports
Beach Handball,sports,,dariusk/corpora sports
Beach Rugby,sports,,dariusk/corpora sports
Beach Soccer,sports,,dariusk/corpora sports
Beach Tennis,sports,,dariusk/corpora sports
Beach Volleyball,sports,,dariusk/corpora sports
Beagling,sports,,dariusk/corpora sports
Beer Pong,sports,,dariusk/corpora sports
Benchrest Shooting,sports,,dariusk/corpora sports
Biathlon,sports,,dariusk/corpora sports
Bicycle Polo,sports,,dariusk/corpora sports
Bifins,sports,,dariusk/corpora sports
Big Game Hunting,sports,,dariusk/corpora sports
Big-Game Fishing,sports,,dariusk/corpora sports
Biribol,sports,,dariusk/corpora sports
Blackball,sports,,dariusk/corpora sports
Board Sports,sports,,dariusk/corpora sports
Board Track Racing,sports,,dariusk/corpora sports
Bobsleigh,sports,,dariusk/corpora sports
Bocce Volo,sports,,dariusk/corpora sports
