name,iso6391,iso6392,source_item,source
Abkhazian,ab,,,umpirsky/language-list
Achinese,,ace,,umpirsky/language-list
Acoli,,ach,,umpirsky/language-list
Adangme,,ada,,umpirsky/language-list
Adyghe,,ady,,umpirsky/language-list
Afar,aa,,,umpirsky/language-list
Afrihili,,afh,,umpirsky/language-list
Afrikaans,af,,,umpirsky/language-list
Aghem,,agq,,umpirsky/language-list
Ainu,,ain,,umpirsky/language-list
Akan,ak,,,umpirsky/language-list
Akkadian,,akk,,umpirsky/language-list
Akoose,,bss,,umpirsky/language-list
Alabama,,akz,,umpirsky/language-list
Albanian,sq,,,umpirsky/language-list
Aleut,,ale,,umpirsky/language-list
Algerian Arabic,,arq,,umpirsky/language-list
American English,,,,umpirsky/language-list
American Sign Language,,ase,,umpirsky/language-list
Amharic,am,,,umpirsky/language-list
Ancient Egyptian,,egy,,umpirsky/language-list
Ancient Greek,,grc,,umpirsky/language-list
Angika,,anp,,umpirsky/language-list
Ao Naga,,njo,,umpirsky/language-list
Arabic,ar,,,umpirsky/language-list
Aragonese,an,,,umpirsky/language-list
Aramaic,,arc,,umpirsky/language-list
Araona,,aro,,umpirsky/language-list
Arapaho,,arp,,umpirsky/language-list
Arawak,,arw,,umpirsky/language-list
Armenian,hy,,,umpirsky/language-list
Aromanian,,rup,,umpirsky/language-list
Arpitan,,frp,,umpirsky/language-list
Assamese,as,,,umpirsky/language-list
Asturian,,ast,,umpirsky/language-list
Asu,,asa,,umpirsky/language-list
Atsam,,cch,,umpirsky/language-list
Australian English,,,,umpirsky/language-list
Austrian German,,,,umpirsky/language-list
Avaric,av,,,umpirsky/language-list
Avestan,ae,,,umpirsky/language-list
Awadhi,,awa,,umpirsky/language-list
Aymara,ay,,,umpirsky/language-list
Azerbaijani,az,,,umpirsky/language-list
Badaga,,bfq,,umpirsky/language-list
Bafia,,ksf,,umpirsky/language-list
Bafut,,bfd,,umpirsky/language-list
Bakhtiari,,bqi,,umpirsky/language-list
Balinese,,ban,,umpirsky/language-list
Baluchi,,bal,,umpirsky/language-list
Bambara,bm,,,umpirsky/language-list
Bamun,,bax,,umpirsky/language-list
Banjar,,bjn,,umpirsky/language-list
Basaa,,bas,,umpirsky/language-list
Bashkir,ba,,,umpirsky/language-list
Basque,eu,,,umpirsky/language-list
Batak Toba,,bbc,,umpirsky/language-list
Bavarian,,bar,,umpirsky/language-list
Beja,,bej,,umpirsky/language-list
Belarusian,be,,,umpirsky/language-list
Bemba,,bem,,umpirsky/language-list
Bena,,bez,,umpirsky/language-list
Bengali,bn,,,umpirsky/language-list
Betawi,,bew,,umpirsky/language-list
Bhojpuri,,bho,,umpirsky/language-list
Bikol,,bik,,umpirsky/language-list
Bini,,bin,,umpirsky/language-list
Bishnupriya,,bpy,,umpirsky/language-list
Bislama,bi,,,umpirsky/language-list
Blin,,byn,,umpirsky/language-list
Blissymbols,,zbl,,umpirsky/language-list
Bodo,,brx,,umpirsky/language-list
Bosnian,bs,,,umpirsky/language-list
Brahui,,brh,,umpirsky/language-list
Braj,,bra,,umpirsky/language-list
Brazilian Portuguese,,,,umpirsky/language-list
Breton,br,,,umpirsky/language-list
British English,,,,umpirsky/language-list
Buginese,,bug,,umpirsky/language-list
