name,source_item,source
Accountant,,dariusk/corpora occupations
Actor,,dariusk/corpora occupations
Actuary,,dariusk/corpora occupations
Adhesive Bonding Machine Tender,,dariusk/corpora occupations
Adjudicator,,dariusk/corpora occupations
Administrative Assistant,,dariusk/corpora occupations
Administrative Services Manager,,dariusk/corpora occupations
Adult Education Teacher,,dariusk/corpora occupations
Advertising Manager,,dariusk/corpora occupations
Advertising Sales Agent,,dariusk/corpora occupations
Aerobics Instructor,,dariusk/corpora occupations
Aerospace Engineer,,dariusk/corpora occupations
Aerospace Engineering Technician,,dariusk/corpora occupations
Agent,,dariusk/corpora occupations
Agricultural Engineer,,dariusk/corpora occupations
Agricultural Equipment Operator,,dariusk/corpora occupations
Agricultural Grader,,dariusk/corpora occupations
Agricultural Inspector,,dariusk/corpora occupations
Agricultural Manager,,dariusk/corpora occupations
Agricultural Sciences Teacher,,dariusk/corpora occupations
Agricultural Sorter,,dariusk/corpora occupations
Agricultural Technician,,dariusk/corpora occupations
Agricultural Worker,,dariusk/corpora occupations
Air Conditioning Installer,,dariusk/corpora occupations
Air Conditioning Mechanic,,dariusk/corpora occupations
Air Traffic Controller,,dariusk/corpora occupations
Aircraft Cargo Handling Supervisor,,dariusk/corpora occupations
Aircraft Mechanic,,dariusk/corpora occupations
Aircraft Service Technician,,dariusk/corpora occupations
Airline Copilot,,dariusk/corpora occupations
Airline Pilot,,dariusk/corpora occupations
Ambulance Dispatcher,,dariusk/corpora occupations
Ambulance Driver,,dariusk/corpora occupations
Amusement Machine Servicer,,dariusk/corpora occupations
Anesthesiologist,,dariusk/corpora occupations
Animal Breeder,,dariusk/corpora occupations
Animal Control Worker,,dariusk/corpora occupations
Animal Scientist,,dariusk/corpora occupations
Animal Trainer,,dariusk/corpora occupations
Animator,,dariusk/corpora occupations
Answering Service Operator,,dariusk/corpora occupations
Anthropologist,,dariusk/corpora occupations
Apparel Patternmaker,,dariusk/corpora occupations
Apparel Worker,,dariusk/corpora occupations
Arbitrator,,dariusk/corpora occupations
Archeologist,,dariusk/corpora occupations
Architect,,dariusk/corpora occupations
Architectural Drafter,,dariusk/corpora occupations
Architectural Manager,,dariusk/corpora occupations
Archivist,,dariusk/corpora occupations
Art Director,,dariusk/corpora occupations
Art Teacher,,dariusk/corpora occupations
Artist,,dariusk/corpora occupations
Assembler,,dariusk/corpora occupations
Astronomer,,dariusk/corpora occupations
Athlete,,dariusk/corpora occupations
Athletic Trainer,,dariusk/corpora occupations
Atm Machine Repairer,,dariusk/corpora occupations
Atmospheric Scientist,,dariusk/corpora occupations
Attendant,,dariusk/corpora occupations
Audio And Video Equipment Technician,,dariusk/corpora occupations
Audio-Visual And Multimedia Collections Specialist,,dariusk/corpora occupations
Audiologist,,dariusk/corpora occupations
Auditor,,dariusk/corpora occupations
Author,,dariusk/corpora occupations
Auto Damage Insurance Appraiser,,dariusk/corpora occupations
Automotive And Watercraft Service Attendant,,dariusk/corpora occupations
Automotive Glass Installer,,dariusk/corpora occupations
Automotive Mechanic,,dariusk/corpora occupations
Avionics Technician,,dariusk/corpora occupations
Back-End Developer,,dariusk/corpora occupations
Baggage Porter,,dariusk/corpora occupations
Bailiff,,dariusk/corpora occupations
Baker,,dariusk/corpora occupations
Barback,,dariusk/corpora occupations
Barber,,dariusk/corpora occupations
Bartender,,dariusk/corpora occupations
Basic Education Teacher,,dariusk/corpora occupations
Behavioral Disorder Counselor,,dariusk/corpora occupations
Bellhop,,dariusk/corpora occupations
Bench Carpenter,,dariusk/corpora occupations
Bicycle Repairer,,dariusk/corpora occupations
Bill And Account Collector,,dariusk/corpora occupations
Billing And Posting Clerk,,dariusk/corpora occupations
Biochemist,,dariusk/corpora occupations
Biological Technician,,dariusk/corpora occupations
Biomedical Engineer,,dariusk/corpora occupations
Biophysicist,,dariusk/corpora occupations
Blaster,,dariusk/corpora occupations
Blending Machine Operator,,dariusk/corpora occupations
Blockmason,,dariusk/corpora occupations
Boiler Operator,,dariusk/corpora occupations
Boilermaker,,dariusk/corpora occupations
Bookkeeper,,dariusk/corpora occupations
Boring Machine Tool Tender,,dariusk/corpora occupations
Brazer,,dariusk/corpora occupations
Brickmason,,dariusk/corpora occupations
Bridge And Lock Tender,,dariusk/corpora occupations
Broadcast News Analyst,,dariusk/corpora occupations
Broadcast Technician,,dariusk/corpora occupations
Brokerage Clerk,,dariusk/corpora occupations
Budget Analyst,,dariusk/corpora occupations
Building Inspector,,dariusk/corpora occupations
Bus Mechanic,,dariusk/corpora occupations
Butcher,,dariusk/corpora occupations
Buyer,,dariusk/corpora occupations
Cabinetmaker,,dariusk/corpora occupations
Cafeteria Attendant,,dariusk/corpora occupations
Cafeteria Cook,,dariusk/corpora occupations
Camera Operator,,dariusk/corpora occupations
Camera Repairer,,dariusk/corpora occupations
Cardiovascular Technician,,dariusk/corpora occupations
Cargo Agent,,dariusk/corpora occupations
Carpenter,,dariusk/corpora occupations
Carpet Installer,,dariusk/corpora occupations
Cartographer,,dariusk/corpora occupations
Cashier,,dariusk/corpora occupations
Caster,,dariusk/corpora occupations
Ceiling Tile Installer,,dariusk/corpora occupations
Cellular Equipment Installer,,dariusk/corpora occupations
Cement Mason,,dariusk/corpora occupations
Channeling Machine Operator,,dariusk/corpora occupations
Chauffeur,,dariusk/corpora occupations
Checker,,dariusk/corpora occupations
Chef,,dariusk/corpora occupations
Chemical Engineer,,dariusk/corpora occupations
Chemical Plant Operator,,dariusk/corpora occupations
Chemist,,dariusk/corpora occupations
