name,source_item,source
Azali,,dariusk/corpora religions
BahÁ'íS Under The Provisions Of The Covenant,,dariusk/corpora religions
Orthodox BahÁ'í Faith,,dariusk/corpora religions
Anabaptists,,dariusk/corpora religions
Anglicanism,,dariusk/corpora religions
Baptists,,dariusk/corpora religions
Calvinism,,dariusk/corpora religions
Congregational Churches,,dariusk/corpora religions
Lutheranism,,dariusk/corpora religions
Members Church Of God International,,dariusk/corpora religions
Methodism,,dariusk/corpora religions
Moravians,,dariusk/corpora religions
Nonconformism,,dariusk/corpora religions
Pentecostalism,,dariusk/corpora religions
Pietism,,dariusk/corpora religions
Presbyterianism,,dariusk/corpora religions
Quakerism,,dariusk/corpora religions
Shakers,,dariusk/corpora religions
Waldensians,,dariusk/corpora religions
Greek Orthodox,,dariusk/corpora religions
Serbian Orthodox,,dariusk/corpora religions
Russian Orthodox,,dariusk/corpora religions
Romanian Orthodox,,dariusk/corpora religions
Bulgarian Orthodox,,dariusk/corpora religions
Armenian Orthodox,,dariusk/corpora religions
Coptic Orthodox,,dariusk/corpora religions
Ethiopian Orthodox,,dariusk/corpora religions
Syriac Orthodox,,dariusk/corpora religions
Arianism,,dariusk/corpora religions
Christadelphians,,dariusk/corpora religions
Christian Gnosticism,,dariusk/corpora religions
Christian Identity,,dariusk/corpora religions
Christian Science,,dariusk/corpora religions
Christian Universalism,,dariusk/corpora religions
The Church Of Jesus Christ Of Latter-Day Saints,,dariusk/corpora religions
Iglesia Ni Cristo,,dariusk/corpora religions
Ebionites,,dariusk/corpora religions
Jehovah'S Witnesses,,dariusk/corpora religions
Jesuism,,dariusk/corpora religions
Latter Day Saint Movement,,dariusk/corpora religions
Millerites,,dariusk/corpora religions
Nontrinitarianism,,dariusk/corpora religions
Messianic Judaism,,dariusk/corpora religions
Marcionism,,dariusk/corpora religions
Rastafarianism,,dariusk/corpora religions
Seventh-Day Adventist Church,,dariusk/corpora religions
Spiritual Baptists,,dariusk/corpora religions
Swedenborgianism,,dariusk/corpora religions
The Aquarian Church,,dariusk/corpora religions
Unification Church,,dariusk/corpora religions
Unitarianism,,dariusk/corpora religions
Universal Church Of The Kingdom Of God,,dariusk/corpora religions
Mandaeism,,dariusk/corpora religions
Manichaeism,,dariusk/corpora religions
Bagnolians,,dariusk/corpora religions
Sethianism,,dariusk/corpora religions
Basilideans,,dariusk/corpora religions
Valentinianism,,dariusk/corpora religions
Bardaisan,,dariusk/corpora religions
Ecclesia Gnostica,,dariusk/corpora religions
Ash'Ari,,dariusk/corpora religions
Maturidi,,dariusk/corpora religions
Murji'Ah,,dariusk/corpora religions
Mu'Tazila,,dariusk/corpora religions
Ibadi,,dariusk/corpora religions
Azraqi,,dariusk/corpora religions
Haruriyyah,,dariusk/corpora religions
Sufri,,dariusk/corpora religions
Isma'Ilism,,dariusk/corpora religions
Mustaali / Dawoodi Bohra,,dariusk/corpora religions
Nizari,,dariusk/corpora religions
Ja'Fari Jurisprudence,,dariusk/corpora religions
Twelver,,dariusk/corpora religions
Akhbari,,dariusk/corpora religions
Shaykhism,,dariusk/corpora religions
Usuli,,dariusk/corpora religions
Alawites,,dariusk/corpora religions
Alevism / Bektashi Order,,dariusk/corpora religions
Zaidiyyah,,dariusk/corpora religions
Bektashi Order,,dariusk/corpora religions
Chishti Order,,dariusk/corpora religions
Mevlevi Order,,dariusk/corpora religions
Mujaddidiyah,,dariusk/corpora religions
Naqshbandi,,dariusk/corpora religions
Jahriyya,,dariusk/corpora religions
Khufiyya,,dariusk/corpora religions
Ni'MatullĀHĪ,,dariusk/corpora religions
Tariqa,,dariusk/corpora religions
Qadiriyya,,dariusk/corpora religions
Sufi Order International,,dariusk/corpora religions
Sufism Reoriented,,dariusk/corpora religions
Suhrawardiyya,,dariusk/corpora religions
Tijaniyyah,,dariusk/corpora religions
Universal Sufism,,dariusk/corpora religions
Dances Of Universal Peace,,dariusk/corpora religions
Hanafi,,dariusk/corpora religions
Barelvi,,dariusk/corpora religions
Deobandi,,dariusk/corpora religions
Gedimu,,dariusk/corpora religions
Yihewani,,dariusk/corpora religions
Xidaotang,,dariusk/corpora religions
Hanbali,,dariusk/corpora religions
Maliki,,dariusk/corpora religions
Shafi'I,,dariusk/corpora religions
Ahl Al-Hadith,,dariusk/corpora religions
Salafi Movement,,dariusk/corpora religions
Wahhabism,,dariusk/corpora religions
Muwahhidism,,dariusk/corpora religions
Ghair Muqallidism,,dariusk/corpora religions
Quranism,,dariusk/corpora religions
Tolu-E-Islam,,dariusk/corpora religions
United Submitters International,,dariusk/corpora religions
American Society Of Muslims,,dariusk/corpora religions
Five-Percent Nation,,dariusk/corpora religions
Moorish Orthodox Church Of America,,dariusk/corpora religions
Moorish Science Temple Of America,,dariusk/corpora religions
Nation Of Islam,,dariusk/corpora religions
United Nation Of Islam,,dariusk/corpora religions
Ahmadiyya Muslim Community,,dariusk/corpora religions
Lahore Ahmadiyya Movement For The Propagation Of Islam,,dariusk/corpora religions
Yarsanism,,dariusk/corpora religions
Al-Fatiha Foundation,,dariusk/corpora religions
Canadian Muslim Union,,dariusk/corpora religions
European Islam,,dariusk/corpora religions
Ittifaq Al-Muslimin,,dariusk/corpora religions
Jamaat Al Muslimeen,,dariusk/corpora religions
Jadid,,dariusk/corpora religions
Liberal Movements Within Islam,,dariusk/corpora religions
Muslim Canadian Congress,,dariusk/corpora religions
Riaz Ahmed Gohar Shahi,,dariusk/corpora religions
Messiah Foundation International,,dariusk/corpora religions
Progressive British Muslims,,dariusk/corpora religions
Progressive Muslim Union,,dariusk/corpora religions
Mahdaviav,,dariusk/corpora religions
Alevism,,dariusk/corpora religions
Orthodox Judaism,,dariusk/corpora religions
Haredi Judaism,,dariusk/corpora religions
Hasidic Judaism,,dariusk/corpora religions
Modern Orthodox Judaism,,dariusk/corpora religions
Conservative Judaism,,dariusk/corpora religions
Masorti,,dariusk/corpora religions
Conservadox Judaism,,dariusk/corpora religions
Union For Traditional Judaism,,dariusk/corpora religions
Reform Judaism,,dariusk/corpora religions
Progressive Judaism,,dariusk/corpora religions
Liberal Judaism,,dariusk/corpora religions
Alternative Judaism,,dariusk/corpora religions
Humanistic Judaism,,dariusk/corpora religions
Jewish Renewal,,dariusk/corpora religions
Reconstructionist Judaism,,dariusk/corpora religions
Second Temple Judaism,,dariusk/corpora religions
Essenes,,dariusk/corpora religions
Pharisees (Ancestor Of Rabbinic Judaism),,dariusk/corpora religions
Sadducees (Possible Ancestor Of Karaite Judaism),,dariusk/corpora religions
Zealots (Judea)S,,dariusk/corpora religions
Sicarii,,dariusk/corpora religions
Sects That Believed Jesus Was A Prophet,,dariusk/corpora religions
Elcesaites,,dariusk/corpora religions
Nazarenes,,dariusk/corpora religions
Sabbateans,,dariusk/corpora religions
Frankism,,dariusk/corpora religions
Sabians,,dariusk/corpora religions
Mandaean Nasaraean Sabeans,,dariusk/corpora religions
Sabians Of Harran,,dariusk/corpora religions
Kabir Panth,,dariusk/corpora religions
Ravidassia Religion,,dariusk/corpora religions
Sant Mat,,dariusk/corpora religions
Sri Lankan Amarapura Nikaya,,dariusk/corpora religions
Sri Lankan Siam Nikaya,,dariusk/corpora religions
Sri Lankan RamaÑñA Nikaya,,dariusk/corpora religions
Bangladeshi Sangharaj Nikaya,,dariusk/corpora religions
Bangladeshi Mahasthabir Nikaya,,dariusk/corpora religions
Burmese Thudhamma Nikaya,,dariusk/corpora religions
Vipassana Tradition Of Mahasi Sayadaw And Disciples,,dariusk/corpora religions
Burmese Shwegyin Nikaya,,dariusk/corpora religions
Burmese Dwara Nikaya,,dariusk/corpora religions
Thai Maha Nikaya,,dariusk/corpora religions
Dhammakaya Movement,,dariusk/corpora religions
Thai Dhammayuttika Nikaya,,dariusk/corpora religions
Thai Forest Tradition,,dariusk/corpora religions
Tradition Of Ajahn Chah,,dariusk/corpora religions
PrasaṄGika,,dariusk/corpora religions
Svatantrika,,dariusk/corpora religions
East Asian MĀDhyamaka (Three Treatise School),,dariusk/corpora religions
Jonang,,dariusk/corpora religions
Nichiren ShŪ,,dariusk/corpora religions
Nichiren ShŌShŪ,,dariusk/corpora religions
Soka Gakkai,,dariusk/corpora religions
JŌDo-ShŪ,,dariusk/corpora religions
JŌDo ShinshŪ,,dariusk/corpora religions
DaŚAbhŪMikĀ (Absorbed Into Huayan),,dariusk/corpora religions
Huayan School (AvataṂSaka),,dariusk/corpora religions
Hwaeom,,dariusk/corpora religions
Kegon,,dariusk/corpora religions
Tendai,,dariusk/corpora religions
Cheontae,,dariusk/corpora religions
East Asian YogĀCĀRa,,dariusk/corpora religions
SŌTŌ,,dariusk/corpora religions
Keizan Line,,dariusk/corpora religions
Jakuen Line,,dariusk/corpora religions
Giin Line,,dariusk/corpora religions
Rinzai School,,dariusk/corpora religions
ōBaku,,dariusk/corpora religions
Fuke-ShŪ,,dariusk/corpora religions
Won Buddhism,,dariusk/corpora religions
Dagpo Kagyu,,dariusk/corpora religions
Karma Kagyu,,dariusk/corpora religions
Barom Kagyu,,dariusk/corpora religions
Drukpa Lineage,,dariusk/corpora religions
Shangpa Kagyu,,dariusk/corpora religions
Shambhala Buddhism,,dariusk/corpora religions
Diamond Way Buddhism,,dariusk/corpora religions
Triratna Buddhist Community,,dariusk/corpora religions
New Kadampa Tradition,,dariusk/corpora religions
Share International,,dariusk/corpora religions
True Buddha School,,dariusk/corpora religions
Nipponzan-MyŌHŌJi-Daisanga,,dariusk/corpora religions
The Osho Or Rajneesh Movement,,dariusk/corpora religions
Ananda Marga,,dariusk/corpora religions
Gaudiya Vaishnavism,,dariusk/corpora religions
International Society For Krishna Consciousness,,dariusk/corpora religions
Arya Samaj,,dariusk/corpora religions
Brahmo Samaj,,dariusk/corpora religions
Ramakrishna Mission,,dariusk/corpora religions
Satya Dharma,,dariusk/corpora religions
Satsang Of Thakur Anukulchandra,,dariusk/corpora religions
Matua Mahasangha,,dariusk/corpora religions
Hinduism In Indonesia,,dariusk/corpora religions
Advaita Vedanta,,dariusk/corpora religions
Integral Yoga,,dariusk/corpora religions
Vishishtadvaita,,dariusk/corpora religions
Dvaita Vedanta,,dariusk/corpora religions
Ashtanga Yoga,,dariusk/corpora religions
Bhakti Yoga,,dariusk/corpora religions
Raja Yoga,,dariusk/corpora religions
Karma Yoga,,dariusk/corpora religions
Jnana Yoga,,dariusk/corpora religions
Kundalini Yoga,,dariusk/corpora religions
Hatha Yoga,,dariusk/corpora religions
Siddha Yoga,,dariusk/corpora religions
Surat Shabd Yoga,,dariusk/corpora religions
Tantric Yoga,,dariusk/corpora religions
Sahaja Yoga,,dariusk/corpora religions
Bispanthi,,dariusk/corpora religions
Digambar Terapanth,,dariusk/corpora religions
Kanji Panth,,dariusk/corpora religions
Panth Of Kanji Swami,,dariusk/corpora religions
Murtipujaka (Deravasi),,dariusk/corpora religions
SthĀNakavĀSĪ,,dariusk/corpora religions
Svetambar Terapanth,,dariusk/corpora religions
Khalsa,,dariusk/corpora religions
Nihang,,dariusk/corpora religions
"Namdhari (""Kuka Sikhs"")",,dariusk/corpora religions
Sahajdhari,,dariusk/corpora religions
Zurvanism,,dariusk/corpora religions
Mazdakism,,dariusk/corpora religions
Khurramites (Syncretism With Shi'A Islam),,dariusk/corpora religions
Behafaridians,,dariusk/corpora religions
Mithraism,,dariusk/corpora religions
BÁBism,,dariusk/corpora religions
BahÁ'í Faith,,dariusk/corpora religions
Alevi,,dariusk/corpora religions
Yarsani,,dariusk/corpora religions
Yazidi,,dariusk/corpora religions
Neo-Confucianism,,dariusk/corpora religions
New Confucianism,,dariusk/corpora religions
KoshintŌ,,dariusk/corpora religions
ShugendŌ,,dariusk/corpora religions
Yoshida ShintŌ,,dariusk/corpora religions
Konkokyo,,dariusk/corpora religions
Oomoto,,dariusk/corpora religions
Seicho-No-Ie,,dariusk/corpora religions
Shinmeiaishinkai,,dariusk/corpora religions
Tenrikyo,,dariusk/corpora religions
Zenrinkyo,,dariusk/corpora religions
Way Of The Five Pecks Of Rice,,dariusk/corpora religions
Way Of The Celestial Masters,,dariusk/corpora religions
"Zhengyi Dao (""Way Of The Right Oneness"")",,dariusk/corpora religions
Taipingjing-Based Movements,,dariusk/corpora religions
"Shangqing School (""School Of The Highest Clarity"")",,dariusk/corpora religions
"Lingbao School (""School Of The Numinous Treasure"")",,dariusk/corpora religions
"Quanzhen School (""Way Of The Fulfilled Virtue"")",,dariusk/corpora religions
Dragon Gate Taoism,,dariusk/corpora religions
"Wuliupai (""School Of Wu-Liu"")",,dariusk/corpora religions
Yao Taoism (Meishanism),,dariusk/corpora religions
Faism (Redhead Taoism),,dariusk/corpora religions
Xuanxue (Neo-Taoism),,dariusk/corpora religions
Yiguandao,,dariusk/corpora religions
Dudeism,,dariusk/corpora religions
Zenarchy (Kerry Wendell Thornley),,dariusk/corpora religions
Chan Buddhism,,dariusk/corpora religions
Chinese Folk Religion,,dariusk/corpora religions
Falun Gong,,dariusk/corpora religions
Yiguandao (I Kuan-Tao),,dariusk/corpora religions
Mohism,,dariusk/corpora religions
Xiantiandao,,dariusk/corpora religions
Cheondoism,,dariusk/corpora religions
Daejongism,,dariusk/corpora religions
Daesun Jinrihoe,,dariusk/corpora religions
Gasin Faith,,dariusk/corpora religions
Jeung San Do,,dariusk/corpora religions
Juche,,dariusk/corpora religions
Korean Shamanism,,dariusk/corpora religions
Suwunism,,dariusk/corpora religions
Cao đàI,,dariusk/corpora religions
đạO BỬU SƠN KỲ HƯơNg,,dariusk/corpora religions
đạO DỪA,,dariusk/corpora religions
đạO MẪU,,dariusk/corpora religions
HÒA HẢO,,dariusk/corpora religions
Batuque,,dariusk/corpora religions
CandomblÉ,,dariusk/corpora religions
Dahomey Mythology,,dariusk/corpora religions
Haitian Mythology,,dariusk/corpora religions
Kumina,,dariusk/corpora religions
Macumba,,dariusk/corpora religions
Mami Wata,,dariusk/corpora religions
Obeah,,dariusk/corpora religions
Oyotunji,,dariusk/corpora religions
Palo,,dariusk/corpora religions
Quimbanda,,dariusk/corpora religions
SanterÍA (Lukumi),,dariusk/corpora religions
Umbanda,,dariusk/corpora religions
Vodou,,dariusk/corpora religions
Akan Mythology,,dariusk/corpora religions
Ashanti Mythology (Ghana),,dariusk/corpora religions
Dahomey (Fon) Mythology,,dariusk/corpora religions
"Efik Mythology (Nigeria, Cameroon)",,dariusk/corpora religions
"Igbo Mythology (Nigeria, Cameroon)",,dariusk/corpora religions
Isoko Mythology (Nigeria),,dariusk/corpora religions
"Yoruba Mythology (Nigeria, Benin)",,dariusk/corpora religions
Bushongo Mythology (Congo),,dariusk/corpora religions
Bambuti (Pygmy) Mythology (Congo),,dariusk/corpora religions
Lugbara Mythology (Congo),,dariusk/corpora religions
Akamba Mythology (East Kenya),,dariusk/corpora religions
Dinka Mythology (Sudan),,dariusk/corpora religions
Lotuko Mythology (Sudan),,dariusk/corpora religions
"Masai Mythology (Kenya, Tanzania)",,dariusk/corpora religions
Khoisan Religion,,dariusk/corpora religions
Lozi Mythology (Zambia),,dariusk/corpora religions
Tumbuka Mythology (Malawi),,dariusk/corpora religions
Zulu Mythology (South Africa),,dariusk/corpora religions
Abenaki Mythology,,dariusk/corpora religions
Anishinaabe,,dariusk/corpora religions
Aztec Mythology,,dariusk/corpora religions
Blackfoot Mythology,,dariusk/corpora religions
Cherokee Mythology,,dariusk/corpora religions
Chickasaw Mythology,,dariusk/corpora religions
Choctaw Mythology,,dariusk/corpora religions
Creek Mythology,,dariusk/corpora religions
Crow Mythology,,dariusk/corpora religions
Ghost Dance,,dariusk/corpora religions
Guarani Mythology,,dariusk/corpora religions
Haida Mythology,,dariusk/corpora religions
Ho-Chunk Mythology (Aka: Winnebago),,dariusk/corpora religions
Hopi Mythology,,dariusk/corpora religions
Inca Mythology,,dariusk/corpora religions
Indian Shaker Church,,dariusk/corpora religions
Inuit Mythology,,dariusk/corpora religions
Iroquois Mythology,,dariusk/corpora religions
Keetoowah Nighthawk Society,,dariusk/corpora religions
Kuksu,,dariusk/corpora religions
Kwakiutl Mythology,,dariusk/corpora religions
Lakota Mythology,,dariusk/corpora religions
Leni Lenape Mythology,,dariusk/corpora religions
Longhouse Religion,,dariusk/corpora religions
Mapuche Mythology,,dariusk/corpora religions
Maya Mythology,,dariusk/corpora religions
Midewiwin,,dariusk/corpora religions
Miwok,,dariusk/corpora religions
Native American Church,,dariusk/corpora religions
Navajo Mythology,,dariusk/corpora religions
Nootka Mythology,,dariusk/corpora religions
Ohlone Mythology,,dariusk/corpora religions
Olmec Mythology,,dariusk/corpora religions
Pomo Mythology,,dariusk/corpora religions
Pawnee Mythology,,dariusk/corpora religions
Salish Mythology,,dariusk/corpora religions
Selk'Nam Religion,,dariusk/corpora religions
Seneca Mythology,,dariusk/corpora religions
Southeastern Ceremonial Complex,,dariusk/corpora religions
Sun Dance,,dariusk/corpora religions
Tsimshian Mythology,,dariusk/corpora religions
Urarina,,dariusk/corpora religions
Ute Mythology,,dariusk/corpora religions
