name,country_iso2,domains,web_pages,source_item,source
Fundação Hermínio Ometto,BR,fho.edu.br,https://www.fho.edu.br/,,Hipo university-domains-list
Hellenic College of Noah,GR,noah.edu.gr,https://noah.edu.gr/,,Hipo university-domains-list
Antonio Nariño University,CO,uan.edu.co,https://uan.edu.co/,,Hipo university-domains-list
Engineering Institute of Technology,AU,student.eit.edu.au,https://www.eit.edu.au/,,Hipo university-domains-list
Universitas Nusa Putra,ID,nusaputra.ac.id,https://nusaputra.ac.id/,,Hipo university-domains-list
Regent University College of Science and Technology,GH,regent.edu.gh,https://regent.edu.gh/,,Hipo university-domains-list
Wroclaw Akademia Biznesu,PL,student.wab.edu.pl|wab.edu.pl,https://wab.edu.pl/,,Hipo university-domains-list
Atharva College of Engineering,IN,atharvacoe.ac.in,https://atharvacoe.ac.in/,,Hipo university-domains-list
Toronto Baptist Seminary and Bible College,CA,tbs.edu,https://tbs.edu/,,Hipo university-domains-list
Universidade Comunitária da Região de Chapecó - Unochapecó,BR,unochapeco.edu.br,https://unochapeco.edu.br/,,Hipo university-domains-list
West Herts College,GB,student.westherts.ac.uk|westherts.ac.uk,https://westherts.ac.uk/,,Hipo university-domains-list
Bhagwan Parshuram Institute of Technology,IN,bpitindia.edu.in|bpitindia.in,http://bpitindia.ac.in/,,Hipo university-domains-list
National Institute of Applied Sciences of Toulouse,FR,insa-toulouse.fr,https://insa-toulouse.fr/,,Hipo university-domains-list
Bugema University,UG,bugemauniv.ac.ug,https://bugemauniv.ac.ug/,,Hipo university-domains-list
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),AE,mbzuai.ac.ae,https://mbzuai.ac.ae/,,Hipo university-domains-list
"Centro Universitário de Brasília, UNICEUB",BR,sempreceub.com|uniceub.br,https://www.uniceub.br/,,Hipo university-domains-list
Kharkiv National University,UA,student.karazin.ua|karazin.ua|univer.kharkov.ua,https://karazin.ua/|http://www.univer.kharkov.ua/,,Hipo university-domains-list
Universidad Técnica Federico Santa María,CL,usm.cl,https://usm.cl/,,Hipo university-domains-list
IÉSEG School of Management,FR,ieseg.fr,https://ieseg.fr/,,Hipo university-domains-list
Sun Yat-Sen University,CN,mail2.sysu.edu.cn|mail.sysu.edu.cn,https://sysu.edu.cn/,,Hipo university-domains-list
Royal Holloway University of London,GB,rhul.ac.uk,https://rhul.ac.uk/,,Hipo university-domains-list
Hunan University,CN,hnu.edu.cn|www-en.hnu.edu.cn,https://www.hnu.edu.cn/|http://www-en.hnu.edu.cn/,,Hipo university-domains-list
University of Portsmouth,GB,port.ac.uk|myport.ac.uk|myport.port.ac.uk,http://www.port.ac.uk/|https://myport.port.ac.uk/,,Hipo university-domains-list
Central Supélec,FR,centralesupelec.fr,https://www.centralesupelec.fr/,,Hipo university-domains-list
Académie de Paris,FR,ac-paris.fr,https://www.ac-paris.fr/,,Hipo university-domains-list
Académie d'Aix-Marseille,FR,ac-aix-marseille.fr,https://www.ac-aix-marseille.fr/,,Hipo university-domains-list
Académie de Créteil,FR,ac-creteil.fr,https://www.ac-creteil.fr/,,Hipo university-domains-list
Marywood University,US,marywood.edu,http://www.marywood.edu/,,Hipo university-domains-list
University of Petroleum and Energy Studies,IN,upes.ac.in,https://www.upes.ac.in/,,Hipo university-domains-list
Ashoka University,IN,ashoka.edu.in,https://www.ashoka.edu.in/,,Hipo university-domains-list
Indian Institute of Information Technology Sri City,IN,iiits.in,https://www.iiits.ac.in/,,Hipo university-domains-list
Cégep de Saint-Jérôme,CA,cstj.qc.ca,https://www.cstj.qc.ca/|https://ccmt.cstj.qc.ca/|https://ccml.cstj.qc.ca/,,Hipo university-domains-list
Lindenwood University,US,lindenwood.edu,http://www.lindenwood.edu/,,Hipo university-domains-list
DAV Institute of Engineering & Technology,IN,davietjal.org,http://www.davietjal.org/,,Hipo university-domains-list
Lovely Professional University,IN,lpu.in,http://www.lpu.in/,,Hipo university-domains-list
Sullivan University,US,sullivan.edu,https://sullivan.edu/,,Hipo university-domains-list
Florida State College at Jacksonville,US,fscj.edu,https://www.fscj.edu/,,Hipo university-domains-list
Xavier University,US,xavier.edu,https://www.xavier.edu/,,Hipo university-domains-list
Tusculum College,US,tusculum.edu,https://home.tusculum.edu/,,Hipo university-domains-list
Claremont School of Theology,US,cst.edu,https://cst.edu/,,Hipo university-domains-list
Somaiya Vidyavihar,IN,somaiya.edu,https://somaiya.edu/,,Hipo university-domains-list
Columbia College (SC),US,columbiasc.edu,https://www.columbiasc.edu/,,Hipo university-domains-list
Chabot-Las Positas Community College District,US,clpccd.edu,http://www.clpccd.edu/,,Hipo university-domains-list
Keller Graduate School of Management,US,keller.edu,https://www.keller.edu/,,Hipo university-domains-list
Monroe College,US,monroecollege.edu,https://monroecollege.edu/,,Hipo university-domains-list
San Mateo County Community College District,US,smccd.edu,https://smccd.edu/,,Hipo university-domains-list
Los Rios Community College District,US,losrios.edu,http://losrios.edu/,,Hipo university-domains-list
